X;CountryCode;RegionCode;missingH12
Afghanistan;AFG;OAS_other;OAS
Aland Islands;ALA;FIN;EUR
Albania;ALB;NES_EU;NEU
Algeria;DZA;NAF_other;MEA
American Samoa;ASM;SEA_other;OAS
Andorra;AND;NES_EU;NEU
Angola;AGO;AFC_other;SSA
Anguilla;AIA;OLA;LAM
Antarctica;ATA;OLA;LAM
Antigua and Barbuda;ATG;OLA;LAM
Argentina;ARG;ARG;LAM
Armenia;ARM;CAS;REF
Aruba;ABW;OLA;LAM
Australia;AUS;ANZ;CAZ
Austria;AUT;AUT;EUR
Azerbaijan;AZE;CAS;REF
Bahamas;BHS;OLA;LAM
Bahrain;BHR;MEA_other;MEA
Bangladesh;BGD;BGD;OAS
Barbados;BRB;OLA;LAM
Belarus;BLR;CAS;REF
Belgium;BEL;BELUX;EUR
Belize;BLZ;OLA;LAM
Benin;BEN;AFC_other;SSA
Bermuda;BMU;OLA;LAM
Bhutan;BTN;OAS_other;OAS
Bolivia, Plurinational State of;BOL;OLA;LAM
Bonaire, Sint Eustatius and Saba;BES;OLA;LAM
Bosnia and Herzegovina;BIH;NES_EU;NEU
Botswana;BWA;AFC_other;SSA
Bouvet Island;BVT;OLA;LAM
Brazil;BRA;BRA;LAM
British Indian Ocean Territory;IOT;GBR;EUR
Brunei Darussalam;BRN;SEA_other;OAS
Bulgaria;BGR;ECS;EUR
Burkina Faso;BFA;AFC_other;SSA
Burundi;BDI;AFC_other;SSA
Cambodia;KHM;SEA_other;OAS
Cameroon;CMR;AFC_other;SSA
Canada;CAN;CAN;CAZ
Cape Verde;CPV;AFC_other;SSA
Cayman Islands;CYM;OLA;LAM
Central African Republic;CAF;AFC_other;SSA
Chad;TCD;NAF_other;MEA
Chile;CHL;CHL;LAM
China;CHN;CHA;CHA
Christmas Island;CXR;ANZ;CAZ
Cocos (Keeling) Islands;CCK;ANZ;CAZ
Colombia;COL;COL;LAM
Comoros;COM;AFC_other;SSA
Congo;COG;AFC_other;SSA
Congo, the Democratic Republic of the;COD;COD;SSA
Cook Islands;COK;SEA_other;OAS
Costa Rica;CRI;OLA;LAM
Cote d Ivoire;CIV;AFC_other;SSA
Croatia;HRV;ECS;EUR
Cuba;CUB;OLA;LAM
Curacao;CUW;OLA;LAM
Cyprus;CYP;GRC;EUR
Czech Republic;CZE;ECE_other;EUR
Denmark;DNK;DNK;EUR
Djibouti;DJI;AFC_other;SSA
Dominica;DMA;OLA;LAM
Dominican Republic;DOM;OLA;LAM
Ecuador;ECU;OLA;LAM
Egypt;EGY;EGY;MEA
El Salvador;SLV;OLA;LAM
Equatorial Guinea;GNQ;AFC_other;SSA
Eritrea;ERI;AFC_other;SSA
Estonia;EST;ECE_other;EUR
Ethiopia;ETH;ETH;SSA
Falkland Islands (Malvinas);FLK;OLA;LAM
Faroe Islands;FRO;DNK;EUR
Fiji;FJI;SEA_other;OAS
Finland;FIN;FIN;EUR
France;FRA;FRA;EUR
French Guiana;GUF;OLA;LAM
French Polynesia;PYF;SEA_other;OAS
French Southern Territories;ATF;FRA;EUR
Gabon;GAB;AFC_other;SSA
Gambia;GMB;AFC_other;SSA
Georgia;GEO;NES_EU;NEU
Germany;DEU;DEU;EUR
Ghana;GHA;AFC_other;SSA
Gibraltar;GIB;GBR;EUR
Greece;GRC;GRC;EUR
Greenland;GRL;DNK;EUR
Grenada;GRD;OLA;LAM
Guadeloupe;GLP;OLA;LAM
Guam;GUM;SEA_other;OAS
Guatemala;GTM;OLA;LAM
Guernsey;GGY;GBR;EUR
Guinea;GIN;AFC_other;SSA
Guinea-Bissau;GNB;AFC_other;SSA
Guyana;GUY;OLA;LAM
Haiti;HTI;OLA;LAM
Heard Island and McDonald Islands;HMD;ANZ;CAZ
Holy See (Vatican City State);VAT;NES_EU;NEU
Honduras;HND;OLA;LAM
Hong Kong;HKG;CHA;CHA
Hungary;HUN;ECS;EUR
Iceland;ISL;NEN_other;NEU
India;IND;IND;IND
Indonesia;IDN;IDN;OAS
Iran, Islamic Republic of;IRN;IRN;MEA
Iraq;IRQ;MEA_other;MEA
Ireland;IRL;IRL;EUR
Isle of Man;IMN;GBR;EUR
Israel;ISR;MEA_other;MEA
Italy;ITA;ITA;EUR
Jamaica;JAM;OLA;LAM
Japan;JPN;JPN;JPN
Jersey;JEY;GBR;EUR
Jordan;JOR;MEA_other;MEA
Kazakhstan;KAZ;CAS;REF
Kenya;KEN;AFC_other;SSA
Kiribati;KIR;SEA_other;OAS
Korea, Democratic People's Republic of;PRK;CAS;REF
Korea, Republic of;KOR;KOR;OAS
